titel,link,ID,original_ID,content_type,commission,spreker,sprekertekst,datum,question_id,speech_link
over het actieplan 'Ruimte om te Ondernemen' en de uitbreiding van bedrijventerreinen,,,,speech,,Stijn De Roo (cd&v),"Binnen het kader van de ‘Vlaamse Versnelling’ werken het Agentschap Innoveren en Ondernemen (VLAIO) en het Departement Omgeving aan het actieplan ‘Ruimte om te Ondernemen’. Dit plan heeft als doel om voldoende en kwaliteitsvolle bedrijventerreinen te voorzien, zodat ondernemingen de nodige ruimte krijgen om te groeien en te innoveren. De Vlaamse Regering erkent hiermee de uitdagingen rond het huidige tekort aan beschikbare bedrijfsruimte, dat de economische ontwikkeling dreigt te belemmeren. Naast de creatie van nieuwe bedrijventerreinen wordt er ook ingezet op een efficiëntere benutting van bestaande terreinen en verweving van economische activiteiten met andere functies. Het evenwicht tussen economische ontwikkeling en ruimtelijke ordening vormt, zoals u wel zult weten, een grote uitdaging. De Vlaamse Regering wil daarom niet alleen inzetten op de uitbreiding van bedrijventerreinen, maar ook op een optimalisatie van het bestaande aanbod. Dit kan onder andere door leegstand en onbenutte percelen efficiënter in te zetten en door de bestemmingen van bepaalde gebieden te herbekijken. Minister, op basis van die informatie had ik graag een aantal vragen aan u gesteld. Welke criteria zullen worden gebruikt om nieuwe bedrijventerreinen te ontwikkelen? Worden er specifieke regio’s geïdentificeerd waar de nood aan extra bedrijventerreinen het grootst is? Welke rol zullen lokale besturen spelen in de totstandkoming en uitvoering van dit actieplan?",dinsdag 25 februari 2025,1874848.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874848
over het actieplan 'Ruimte om te Ondernemen' en de uitbreiding van bedrijventerreinen,,,,speech,,,– Mien Van Olmen treedt als voorzitter op.,dinsdag 25 februari 2025,1874848.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874848
over het actieplan 'Ruimte om te Ondernemen' en de uitbreiding van bedrijventerreinen,,,,speech,,Minister Jo Brouns,"Het voorzien van voldoende ruimte om te ondernemen is een essentiële voorwaarde voor de competitiviteit van onze bedrijven. Het is daarom evident dat dit een heel belangrijke plaats krijgt in de Vlaamse productiviteits- en competitiviteitsagenda. Collega De Roo, met uw enthousiasme loopt u wel iets te snel vooruit op het actieplan dat op mijn initiatief zal opgemaakt worden. Aangezien een dergelijk plan nog niet voorhanden was, zijn VLAIO en het Departement Omgeving nog maar net gestart met het treffen van de voorbereidingen voor de opmaak van een actieplan ‘Ruimte om te Ondernemen’, gericht op voldoende kwaliteitsvolle bedrijventerreinen om de groei van onze economie mogelijk te kunnen maken. Zonder te veel voorafnames te doen, kan ik u wel al meegeven dat het voor mij essentieel is dat dit actieplan gealigneerd is met de ruimtelijke visie die we willen vastleggen in het Beleidsplan Ruimte Vlaanderen (BRV), waar we ook volop mee aan de slag zijn. Dat spreekt voor zich. We zetten in op verweving, op een betere benutting van terreinen, maar ook op de bestemming van bijkomende terreinen waar de nood bestaat. Ik overloop de verschillende trappen in het kort. Inzake ruimte voor economie huldig ik het adagium ‘verweven waar het kan, scheiden waar het moet’. Eerst en vooral moet de klemtoon dus liggen op het verweven van werklocaties. Die zijn ook goed voor de levendigheid van kernen. Dat adagium bevat ook ‘scheiden waar het moet’. Sommige activiteiten hebben een hinderlijk karakter waardoor een gescheiden ligging veruit te verkiezen valt. Het spreekt voor zich dat we voor dergelijke activiteiten locaties zoeken op een gepaste ligging. Om ruimte te creëren voor ondernemingen gaan we eerst kijken waar en of er reeds ingenomen ruimte hergebruikt kan worden, door bestaande, misschien wat gedateerde bedrijventerreinen te transformeren naar bedrijventerreinen voor de toekomst, met een duidelijk hoger ruimtelijk rendement dan vandaag. Daarnaast zijn er ook onderbenutte bedrijfsterreinen in Vlaanderen waar we meer zicht op willen krijgen en die we willen activeren, onder meer door ook in dialoog te gaan met de eigenaars. Ook in Vlaanderen kennen we helaas een zekere graad van leegstand. Ik wil met het actieplan de aanpak inzake leegstand effectiever maken dan vandaag. Vervolgens kunnen we ons richten op de bestemde maar niet gerealiseerde bedrijventerreinen. Waarom zijn die niet gerealiseerd? Ofwel kunnen we hindernissen wegnemen, maar desnoods moeten we kijken of we die bedrijventerreinen kunnen verplaatsen naar meer geschikte locaties. De ambities van deze regering inzake productiviteit en de competitiviteitsagenda vergen ook aandacht voor ruimte voor ondernemingen van een voldoende grote schaal. Ten slotte zal het ook noodzakelijk zijn om nieuwe bedrijventerreinen aan te duiden en te ontwikkelen. We beschikken momenteel niet over een Vlaanderendekkende kaart met een objectief overzicht van de vraag naar extra bedrijventerreinen. Zoals gezegd, moet de vraag ook bekeken worden in functie van verweving, hergebruik en activering. Ik kan nu nog niet vooruitlopen op dat actieplan, maar we willen een ernstig en Vlaanderenbreed antwoord bieden aan de maatschappelijke nood om bedrijfsactiviteiten te kunnen aantrekken en vestigen. Het kan zijn dat er verschillende antwoorden komen voor verschillende regio’s, maar het is zeker niet zo dat we er slechts enkele regio’s zullen uitpikken. Het is de bedoeling om op vrij korte termijn – de minister-president sprak over het tweede kwartaal van 2025 – met een actieplan te komen. Maar het opmaken van het actieplan zelf zal nog de makkelijkste stap zijn. In de uitrol van de acties zullen we echter iedereen moeten samenbrengen die een rol heeft in het economisch en in het ruimtelijk beleid in Vlaanderen en dus zeker ook de lokale besturen, maar ook de intercommunales, de provincies, de provinciale ontwikkelingsmaatschappijen, de havenbesturen, de waterwegbeheerders, alle mogelijke betrokken actoren. Maar ook de lokale ondernemersorganisaties en de sectorfederaties zullen betrokken worden. Ik kan alle lokale besturen geruststellen: ook zij zullen betrokken worden bij de uitvoering van het actieplan, en niet zomaar als uitvoerders, maar als volwaardige partners. Het ruimtelijk beleid in Vlaanderen is een interbestuurlijk samenspel en dat zal zo blijven. We gaan alle partners nodig hebben.",dinsdag 25 februari 2025,1874848.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874848
over het actieplan 'Ruimte om te Ondernemen' en de uitbreiding van bedrijventerreinen,,,,speech,,Stijn De Roo (cd&v),Tekstfragment nog niet beschikbaar.,dinsdag 25 februari 2025,1874848.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874848
over het actieplan 'Ruimte om te Ondernemen' en de uitbreiding van bedrijventerreinen,,,,speech,,Hans Vanhoof (N-VA),Tekstfragment nog niet beschikbaar.,dinsdag 25 februari 2025,1874848.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874848
over het actieplan 'Ruimte om te Ondernemen' en de uitbreiding van bedrijventerreinen,,,,speech,,Minister Jo Brouns,Tekstfragment nog niet beschikbaar.,dinsdag 25 februari 2025,1874848.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874848
over het actieplan 'Ruimte om te Ondernemen' en de uitbreiding van bedrijventerreinen,,,,speech,,Stijn De Roo (cd&v),Tekstfragment nog niet beschikbaar.,dinsdag 25 februari 2025,1874848.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874848
over het omgevingsbeleid voor dierenwelzijn en dierenasielen,,,,speech,,Dries Devillé (Vlaams Belang),"Minister, er zijn in Vlaanderen slechts een viertal erkende dierenasielen die zich bezighouden met de opvang van weidedieren. Dat kan gaan over runderen, geiten, schapen, varkens, ezels enzovoort. Die centra zijn wel degelijk belangrijk. Ze worden ook geregeld gecontacteerd door overheidsinstanties om probleemweidedieren op te vangen. Die asielen bevinden zich vaak in buitengebied. Dat kan agrarisch gebied zijn, een natuurgebied of zelfs een recreatiegebied. De Vlaamse Regering heeft in haar regeerverklaring beloofd om faciliterend op te treden om dergelijke asielen aan de nodige vergunningen te helpen om hun werk op die manier te kunnen verderzetten. Ik citeer uit het regeerakkoord: “We faciliteren, door het besluit van de Vlaamse Regering ‘handelingen algemeen belang’ gericht aan te passen, oplossingen voor vergunningsproblematieken rond infrastructuur gerelateerd aan dierenwelzijn, zoals dierenasielen opgericht naar aanleiding van functiewijzigingen, zonder het aansnijden van nieuwe open ruimte.” En verder luidt het: “We proberen ook maximaal af te stemmen met andere beleidsdomeinen en met de milieu- en ruimtetak binnen het beleidsdomein Omgeving, zodat de impact van dierenwelzijnsmaatregelen ook daar in ogenschouw wordt genomen.” Toch blijkt in de praktijk dat er momenteel niet veel rekening wordt gehouden met het belang van dierenwelzijn op het vlak van het handhavingsbeleid van Omgeving. Ik geef een zeer concreet voorbeeld. In Oost-Vlaanderen is er een dierenasiel waar een dertigtal minivarkens vrij rondlopen in een bosje van 65 are, dat door de eigenaar gratis ter beschikking wordt gesteld van een vzw. Dat bosje bevindt zich in dit geval in bosgebied. Wat is daar dan gebeurd? Er is een controle geweest door het Agentschap voor Natuur en Bos (ANB). Inspecteurs zijn ter plaatse geweest en hebben een pv van zes pagina’s opgemaakt. Na de controle was de conclusie dat die varkens uit het bos moeten. Nochtans is dat een natuurlijk biotoop voor varkens. Ook everzwijnen hebben daar hun thuis. Heel die problematiek doet bij mij toch een aantal vragen opborrelen, minister. Kunt u mij meedelen of er inmiddels al een overleg is geweest met uw collega van Dierenwelzijn? Zijn er al afspraken gemaakt omtrent het beleid dat u hebt aangekondigd om het belang van dierenwelzijn meer in ogenschouw te nemen en u soepeler op te stellen tegenover dierenasielen? Zo ja, welke afspraken zijn er gemaakt? Zijn er ook al instructies gegeven aan inspecteurs om zich wat coulanter en milder op te stellen ten aanzien van dergelijke dierenasielen? Bent u van oordeel, gezien de beleidsintenties die u hebt geopperd, dat het op dit moment nog altijd gepast is om prioritair te handhaven tegenover die dierenasielen? Wat is de stand van zaken met betrekking tot het aangekondigde besluit dat u zult opstellen of bijsturen? Wanneer kunnen we dat verwachten? Wat zullen de krachtlijnen daarvan zijn? En kan of mag een dierenasiel volgens u gevestigd zijn in bosgebied?",dinsdag 18 februari 2025,1871363.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868134/verslag/1871363
over het omgevingsbeleid voor dierenwelzijn en dierenasielen,,,,speech,,Minister Jo Brouns,"Collega, zonder concreet in te gaan op het dossier dat de aanleiding is tot uw vraag, zou ik denken dat het houden van dertig varkens, groot of klein, op een perceeltje van 65 are zeer zichtbaar is. In de vrije natuur en met een populatie wilde zwijnen die in evenwicht is met haar omgeving, dus inclusief de predatie, verplaatsen de zwijnen zich over een veel grotere oppervlakte. Ik denk dat dat wel bekend is. Eventuele woelschade krijgt de kans om zich te herstellen. Dat is niet het geval wanneer je dieren op zo’n kleine oppervlakte opsluit. Het bos vertuint, en de bosbodem kan zijn oorspronkelijke functies niet meer naar behoren uitoefenen. Een aantasting van de bosbodem wordt via het Bosdecreet door dit parlement dan ook als een ontbossing beschouwd. Dat is ook de reden waarom een verbod tot het houden van dieren in een omheind bos expliciet is opgenomen in het Bosdecreet. Gelet op het maatschappelijke belang van opvangcentra voor wilde dieren en dierenasielen heeft de Vlaamse Regering reeds in 2020 gezorgd voor een verruiming van de vestigingsmogelijkheden door wijzigingen of uitbreidingen van dierenasielen toe te voegen aan de lijst met handelingen van algemeen belang met ruimtelijk beperkte impact. Dat wil natuurlijk niet zeggen dat een dierenasiel zomaar overal kan. Dat is ook wel duidelijk. Zo zal een ontbossing binnen een ruimtelijk kwetsbaar gebied moeilijk liggen en is een voorafgaande ontheffing op dat verbod op ontbossing dus vereist. Buiten ruimtelijk kwetsbaar gebied is een ontbossing in het kader van andere functies nu reeds mogelijk, mits een omgevingsvergunning met de nodige compensatie. Op dit moment is er nog geen wetgevend initiatief in voorbereiding. Ik zal hierover afstemmen met collega Weyts, om de uitdagingen op dat vlak goed in kaart te hebben.",dinsdag 18 februari 2025,1871363.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868134/verslag/1871363
over het omgevingsbeleid voor dierenwelzijn en dierenasielen,,,,speech,,Dries Devillé (Vlaams Belang),"Ik heb nog een kleine bedenking. Minister, u zegt dat er sprake is van ontbossing, maar het gaat over hangbuikzwijntjes, kleine dieren, dus die eten en slapen, en verder doen die daar eigenlijk niets verkeerd. Nu is de situatie zo dat ze allemaal geëuthanaseerd zullen worden. Ik vraag mij af of u nog maatregelen zult nemen om dat te voorkomen.",dinsdag 18 februari 2025,1871363.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868134/verslag/1871363
over het omgevingsbeleid voor dierenwelzijn en dierenasielen,,,,speech,,Marianne Verhaert (Open Vld),"Om de absurditeiten aan te kaarten: het gaat hier over meerdere kleine varkens, maar bij ons in de gemeente ging het over een perceel waar inderdaad een bos op stond, maar dat in een woongebied lag en waar één gans rondliep en waarbij we met dezelfde problematiek te kampen hadden. Ik denk dus dat het wel eens met de nodige rationaliteit bekeken moet worden.",dinsdag 18 februari 2025,1871363.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868134/verslag/1871363
