date,title,description,view_link,watch_link,ID,commission,meeting_ID,card__tag,card__title,card__document_number,card__author,verslag_link,data_type
20 februari 2025 9 uur - Antoon Van Dyck,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie - Toestand Vlaamse industrie",Uit verschillende hoeken komen meldingen dat de Vlaamse industrie in zwaar weer verkeert. De nieuwe Federale Regering en de Europese Commissie formuleerden plannen en maatregelen om de industrie in België en Europa te ondersteunen. Hoe beoordeelt minister-president Matthias Diependaele deze plannen? Welke impact zullen ze hebben op de Vlaamse industrie? Hoe wil hij de administratieve lasten voor bedrijven verlagen? Komt er een actieplan om de Vl...,/nl/parlementair-werk/commissies/commissievergaderingen/1869876,/nl/parlementair-werk/commissies/commissievergaderingen/1869876,1869876,werk,,,,,,,
19 februari 2025 10 uur - Jan Van Eyck,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie - Vakbondsmanifestatie voor werkbaar werk","Op 13 februari organiseerden de vakbonden een massale betoging in Brussel. Ze protesteerden tegen de geplande arbeidshervormingen van de Federale Regering, waarvan ze stellen dat die de arbeidsdruk zullen verhogen. De Vlaamse Regering heeft zich tot doel gesteld om te komen tot een werkzaamheidsgraad van 80 procent, maar werkbaarheidsknelpunten zoals werkdruk en emotionele belasting bemoeilijken die ambitie. Hoe staat minister Zuhal Demir tegenov...",/nl/parlementair-werk/commissies/commissievergaderingen/1869862,/nl/parlementair-werk/commissies/commissievergaderingen/1869862,1869862,werk,,,,,,,
18 februari 2025 14.30 uur - Jan Van Eyck,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie - Einsteintelescoop: hoorzitting","Einstein lanceerde een eeuw geleden zijn theorie over zwaartekrachtgolven: golven afkomstig van extreme gebeurtenissen in de ruimte. Er wordt een Einsteintelescoop in een ondergronds meetstation gebouwd, die deze golven heel nauwkeurig kan meten en zo meer inzicht kan bieden in het heelal. België, Nederland en Duitsland werken samen om de telescoop naar het drielandenpunt in de Maas-Rijnregio te halen. De Vlaamse Regering voorziet in 21 miljoen...",/nl/parlementair-werk/commissies/commissievergaderingen/1864205,/nl/parlementair-werk/commissies/commissievergaderingen/1864205,1864205,werk,,,,,,,
,,,,,1864276,,1869876,Vraag om uitleg,Vraag om uitlegover de impact van de Europese Pay Transparency Directive op kmo's,1289 (2024-2025),vanTom Lamontaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1864276,agenda_item
,,,,,1866141,,1869876,Vraag om uitleg,Vraag om uitlegover de hoge administratieve lasten voor kmo's als gevolg van EU-rapportageverplichtingen,1364 (2024-2025),vanMichiel Awoutersaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1866141,agenda_item
,,,,,1866165,,1869876,Vraag om uitleg,Vraag om uitlegover de maatregel in het federale regeerakkoord om bedrijven in steunzones een vermindering van de bedrijfsvoorheffing toe te kennen,1377 (2024-2025),vanTom Lamontaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1866165,agenda_item
,,,,,1867387,,1869876,Vraag om uitleg,Vraag om uitlegover het dalende aandeel van de industrie in de economie,1422 (2024-2025),vanMichiel Awoutersaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1867387,agenda_item
,,,,,1868556,,1869876,Vraag om uitleg,Vraag om uitlegover een duidelijke visie en een concreet plan voor de Vlaamse industrie,1461 (2024-2025),vanJasper Pillenaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1868556,agenda_item
,,,,,1867634,,1869876,Vraag om uitleg,Vraag om uitlegover de wereldtop over artificiële intelligentie in Parijs,1443 (2024-2025),vanKatia Segersaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1867634,agenda_item
,,,,,1869543,,1869876,Vraag om uitleg,Vraag om uitlegover de AI-top in Parijs en de Vlaamse AI-strategie,1493 (2024-2025),vanKarl Vanlouweaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1869543,agenda_item
,,,,,1869675,,1869876,Vraag om uitleg,Vraag om uitlegover de Europese Chipverordening en de impact op Vlaanderen,1510 (2024-2025),vanFreija Van den Driesscheaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1869675,agenda_item
,,,,,1869372,,1869876,Vraag om uitleg,Vraag om uitlegover de kmo-portefeuille,1478 (2024-2025),vanAndries Gryffroyaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1869372,agenda_item
,,,,,1869383,,1869876,Vraag om uitleg,Vraag om uitlegover de oproepen in het kader van City of Things,1480 (2024-2025),vanAndries Gryffroyaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1869383,agenda_item
,,,,,1869384,,1869876,Vraag om uitleg,Vraag om uitlegover de samenwerking met Dyzo vzw,1481 (2024-2025),vanAndries Gryffroyaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1869384,agenda_item
,,,,,1866164,,1869862,Vraag om uitleg,Vraag om uitlegover de begeleiding en activering van personen in het stelsel van werkloosheid met bedrijfstoeslag,1376 (2024-2025),vanTom Lamontaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1866164,agenda_item
,,,,,1867354,,1869862,Vraag om uitleg,Vraag om uitlegover de vakbondsmanifestatie van 13 februari en het welzijn van mensen die werken,1411 (2024-2025),vanEva Platteauaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1867354,agenda_item
,,,,,1867927,,1869862,Vraag om uitleg,Vraag om uitlegover de stopzetting van de transitietrajecten onderwijs-arbeidsmarkt,1446 (2024-2025),vanEva Platteauaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1867927,agenda_item
,,,,,1868094,,1869862,Vraag om uitleg,Vraag om uitlegover de discriminatie van vrouwen met een migratieachtergrond bij arbeidsbemiddeling,1449 (2024-2025),vanNawal Maghroudaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1868094,agenda_item
