titel,link,ID,original_ID,content_type,commission,spreker,sprekertekst,datum,question_id,speech_link
over de oprichting van een taskforce Wonen-Ruimte,,,,speech,,Mieke Claes (N-VA),"Minister, in uw beleidsnota, en later in een commissie eind vorige maand, deelde u mee dat u met collega Brouns een taskforce Wonen-Ruimte zou oprichten om een groter, betaalbaarder en duurzamer woonaanbod mogelijk te maken. De uitdagingen op de Vlaamse woonmarkt zijn immers groot: tegen 2050 moeten er 450.000 extra woningen komen, terwijl er tegen 2040 geen extra open ruimte meer mag worden aangesneden. Bovendien zitten de vergunningsprocedures in dalende lijn en is de huurmarkt oververhit. Met die taskforce wilt u slapende en onbenutte bouwpotenties in kaart brengen en drempels wegnemen om woningbouwprojecten te versnellen. Daarnaast moet de taskforce de inzet van publieke gronden onderzoeken en lokale besturen ondersteunen bij de ontwikkeling van sociale en betaalbare woningen. Er blijven voor ons echter een heel aantal onduidelijkheden rond deze taskforce. Ik denk aan de werking en de concrete doelstellingen. Daarom heb ik een aantal vragen. Wat is de precieze samenstelling van de taskforce Wonen-Ruimte? Welke experten en belanghebbenden maken er deel van uit? Hoe zal de taskforce concreet te werk gaan om de bouwpotentie in Vlaanderen in kaart te brengen? Welke methodologie wilt u daarvoor gebruiken? Wanneer vindt de eerste werkvergadering van de taskforce plaats en wat staat er op de agenda? Welke concrete drempels zal de taskforce prioritair aanpakken om de versnelde activering van woonprojecten mogelijk te maken? Op welke manier zal de taskforce bijdragen aan het versoepelen of versnellen van vergunningsprocedures voor nieuwbouwprojecten?",woensdag 19 februari 2025,1871902.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868531/verslag/1871902
over de oprichting van een taskforce Wonen-Ruimte,,,,speech,,Adeline Blancquaert (Vlaams Belang),"Minister, het voorbije jaar 2024 werd in Vlaanderen het laagste aantal vergunningen voor nieuwe woningen toegekend van de afgelopen tien jaar. Deze dalende trend speelt al sinds 2018. Nu we ons in Vlaanderen in een onmetelijke wooncrisis bevinden, hebben we net nood aan een immense inhaalbeweging wat het aantal nieuwe woningen betreft. Hoge aankoopprijzen voor woningen, hallucinante huurprijzen – we hebben het er daarnet al over gehad –, een steeds grotere druk van migratie en gezinsverdunning op onze woonmarkt zijn allemaal signalen dat de aanbodzijde aan een fors tempo moet worden opgedreven. De bouwsector geeft ook al een hele tijd aan dat hij in slecht vaarwater zit door dalende orders en bouwmaatschappijen die overkop gaan. Ten opzicht van 2021, het referentiejaar, is er een daling van 7,3 procent in de omzet. Embuild verwacht ook dit jaar nog een extra daling van 3,3 procent. Docent Lorenzo Van Tornhaut van de KU Leuven heeft in de media enkele uitspraken gedaan in verband met het digitale omgevingsloket en de huurmarkt. Zijn meest opmerkelijke uitspraak ging over de taskforce Wonen-Ruimte en de ambitie van 450.000 extra woningen tegen 2050: “Dat is echt de lat zodanig laag leggen dat je al een sliding tackle moet doen om er niet over te raken. We hebben nú maatregelen nodig. Lokale overheden zijn bepalend. De Vlaamse overheid zou beter een staten-generaal samenroepen met alle gemeenten en concrete doelstellingen naar voren schuiven.” Mijn vragen aan u, minister, zijn de volgende. Hoe worden de analyse en opmerkingen van de heer Van Tornhaut door u onthaald? Ziet u graten in het voorstel om een staten-generaal samen te roepen om de in omvang groeiende wooncrisis te bedwingen?",woensdag 19 februari 2025,1871902.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868531/verslag/1871902
over de oprichting van een taskforce Wonen-Ruimte,,,,speech,,Katrien Partyka (cd&v),"De taskforce Wonen-Ruimte is natuurlijk een interessant thema, minister, want de verwachtingen zijn hooggespannen. Samen met collega Brouns hebt u echt geen kleine opdracht: de bouwpotenties van onbenutte gronden, het opstellen van een monitoringsmethode en de uitdaging om tegen 2050 niet minder dan 450.000 extra woningen te realiseren. Los van het debat dat we daarover kunnen hebben – over de invulling en wat er gaat gebeuren, zullen we hopelijk met u in de commissie kunnen spreken –, wil ik het specifiek hebben over de verdichting die nodig zal zijn als we spreken over zoveel bijkomende woningen. De verdichting en het verhogen van het ruimtelijk rendement zal nodig zijn. Er zijn verschillende redenen waarom steeds bijkomende ruimte innemen niet evident is: de wateruitdaging, de klimaatuitdaging, de duurzaamheidsuitdaging, de prijsuitdaging en de maatschappelijke weerstand tegen meer bouwen. Iedereen wil een huis, maar niemand wil graag dat er in zijn tuin een ander huis gebouwd wordt. Dat is, denk ik, een reële uitdaging. Mijn vraag is dus of er in die taskforce Wonen-Ruimte ook plaats is voor andere manieren van wonen. Ik denk dat het toch wel een moment kan zijn om aandacht te hebben voor nieuwe woonvormen zoals kleiner wonen, anders wonen en coöperatief wonen. Dat zijn verschillende nieuwe woonvormen die voldoen aan een nieuwe maatschappelijke nood. Bijna de helft van de Vlamingen is ondertussen alleenstaand. Er zijn ook verschillende andere redenen: de Vlaming heeft een baksteen in de maag, maar misschien is het tegenwoordig een houtskeletbouw en minder een baksteen. Er zijn verschillende zaken in beweging, en de vraag is of in die taskforce Wonen daar ook aandacht voor zal zijn. Die nieuwe woonvormen botsen vaak op regels rond ruimtelijke ordening, maar ook op regels die Vlaanderen, terecht, stelt aan kwaliteit. In de huidige omstandigheden en in die nieuwe woonvormen kunnen die misschien op een andere manier worden ingevuld. Ik denk bijvoorbeeld aan gemeenschappelijke ruimtes. De omstandigheden zijn er. Er is een maatschappelijke vraag om anders te gaan bouwen en wonen. Er is ook de uitdaging om effectief meer woningen op relatief korte termijn te bouwen. De economische omstandigheden zijn er ook niet naar om te blijven verderdoen zoals we nu bezig zijn. Worden die nieuwe woonvormen, innovatie en duurzame verdichting meegenomen in de scope van de taskforce? Welke actoren gaan daar eventueel die rol kunnen opnemen? Aan de begrippen ‘duurzaam’ en ‘betaalbaar wonen' kunnen natuurlijk heel verschillende invullingen worden gegeven. Minister, wat is de invulling van dat begrip? Dat is erg belangrijk om ook de uitkomst van de taskforce mee te bepalen. Hoe en door wie gaat dat bepaald worden? Ten laatste is er de monitorperiode. Er zijn indicatoren vermeld op het vlak van betaalbaarheid, duurzaamheid en kwaliteit. Hoe zijn die elementen geselecteerd? Hoe zullen die worden ingevuld? Kunnen er eventueel nog indicatoren worden bijgevoegd?",woensdag 19 februari 2025,1871902.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868531/verslag/1871902
over de oprichting van een taskforce Wonen-Ruimte,,,,speech,,Kelly Van Tendeloo (Vooruit),"Om betaalbare woningen te garanderen, is aanbod belangrijk. Dat wil concreet zeggen: beschikbare gronden benutten, niet alleen de onbebouwde gronden, maar ook gronden waar vervallen of ongeschikte panden op staan, zodat die vrijkomen en daar een betere woning kan komen die aan de normen voldoet. Daarvoor kijken we naar de taskforce Wonen-Ruimte, om dat mee op te nemen. Minister, op welke manier gaan we die verdichting rijmen met kleinschalige sociale projecten, zodat we niet in de situaties vervallen van in de jaren 70 en 80 waar er heel grote complexen sociale woningen werden gebouwd, waar de draagkracht van de maatschappij te klein voor is? Op welke manier wilt u de woonmaatschappijen betrekken bij de taskforce? Waar ziet u de grootste marge om extra woningen bij te bouwen? Aan welk soort locaties denkt u? Wat hebt u op het oog?",woensdag 19 februari 2025,1871902.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868531/verslag/1871902
over de oprichting van een taskforce Wonen-Ruimte,,,,speech,,Minister Melissa Depraetere,"Dank voor de vele vragen en jullie interesse in onze taskforce. Waarom moest die taskforce er volgens ons komen? Er is in deze commissie ook al heel veel gediscussieerd over aanbod, mogelijke maatregelen en alle uitdagingen en effecten die elke mogelijke maatregel met zich meebrengt. Dan is het wel belangrijk dat we dat niet alleen in een-op-eenoverleg met belangrijke stakeholders bespreken, maar wel in een taskforce waar bijna al die stakeholders bij elkaar komen en waarbij er vooral niet alleen vanuit de blik Wonen, maar ook vanuit de blik Ruimte naar wordt gekeken. Want de twee zijn nu eenmaal onlosmakelijk met elkaar verbonden. Ik ben zeer tevreden dat ook collega Brouns zich hiervoor wil inzetten en hier samen aan wil werken. De uitdaging is duidelijk geschetst door velen van jullie: hoe verzoenen we de uitdaging om bijna een half miljoen extra woningen te bouwen zonder elke vierkante meter groen vol te bouwen? Dat is natuurlijk niet de bedoeling. Om hier een antwoord op te bieden, richten we dus de taskforce Wonen-Ruimte op, om echt op zoek te gaan naar hoe we een structurele, continue aangroei van duurzaam en betaalbaar woonaanbod kunnen ondersteunen en opvolgen. De aangroei moet op goed gelegen locaties komen. Ik zal straks wat meer toelichten hoe we die locaties zien. Maar het is wel belangrijk dat, als er wordt bijgebouwd – dat is in het verleden niet altijd zo gebeurd in Vlaanderen –, er wordt nagedacht waar de locaties dan het best zijn. Dat gaat niet enkel over het stuk grond dat beschikbaar is, maar ook over de mobiliteit in de buurt. Kunnen mensen zich er vlot verplaatsen naar het werk? Zijn er winkels in de buurt? Zijn er combinaties te maken? Is er dan ook nog voldoende natuur, voldoende landbouw, groen, water, enzovoort? Een eerste belangrijke doelstelling is om de ruimte te scannen en in kaart te brengen en daar beter over nadenken dan soms helaas in het verleden is gebeurd. In eerste instantie kijken we naar goedgelegen plekken, waar we maximaal kunnen inzetten op het verhogen van het ruimtelijk rendement binnen de bestaande bebouwde ruimte. We gaan in elke gemeente op zoek naar die plekken. Waarom? Heel veel gemeenten willen daarmee aan de slag gaan, maar ze merken dat ze op drempels botsen, dat ze niet altijd goed weten hoe ze eraan moeten beginnen, enzovoort. Het is belangrijk dat we daar verder op werken en dat we de plekken met bouwpotentie kunnen koppelen aan collectieve vervoersknopen en voorzieningen. De taskforce moet werkmateriaal aanleveren waarmee lokale besturen aan de slag kunnen gaan in functie van hun op te maken woonstrategie. We gaan daarbij focussen op de uitdagingen om bijkomende woningen te realiseren, waarbij het verruimen van het aandeel betaalbaar en sociaal woonaanbod uiteraard moet primeren. Ook dat komt hier heel vaak aan bod. Wat het sociaal woonaanbod betreft, is er natuurlijk het nieuw bindend sociaal objectief (BSO). Er is een verschil met het vorige BSO in de zin dat er een sanctie bij zal horen. Ik hoop dat die niet moet worden toegapast. Maar als lokale besturen echt geen inspanningen doen om doelen te bereiken op het vlak van het aantal sociale woningen, vind ik het normaal dat zij daarvoor een sanctie riskeren. Dat moet dan rechtstreeks een bijdrage leveren aan de huurpremie om mensen die op een wachtlijst staan voor dezelfde sociale woning die er dan niet komt, te ondersteunen. Om de lokale besturen meer slagkracht te geven om dat allemaal mogelijk te maken, heeft de hervorming richting woonmaatschappijen ervoor gezorgd dat zij steeds de meerderheid van de stemrechten in hun woonmaatschappij hebben en dat zij ook hun inspraak hebben in dat nieuwe BSO. Dat zal een stukje van de taskforce omvatten, om de lokale besturen en de woonmaatschappijen – want die worden inderdaad betrokken – voldoende basisinformatie te geven over goedgelegen locaties. Want dat is vaak een argument voor gemeenten die niet aan de doelstellingen komen, dat ze geen beschikbare gronden vinden. Dat zal daar ook mee in worden opgenomen. Daarnaast moeten de lokale besturen ook een beleidsstrategie uitwerken op het vlak van een betaalbaar woonaanbod. De lokale besturen kunnen ook ruimte en kansen bieden voor de klassieke private projectontwikkelingen, waarbij zij ook aandacht voor betaalbaar wonen kunnen hebben. Budgethuur is ook zo’n typisch voorbeeld van wat in die taskforce verder zou kunnen worden onderzocht. Het is een goed systeem, maar veel te kleinschalig: hoe kunnen we daar misschien nog winst mee boeken? Daarmee kom ik op het punt dat collega Partyka ook heeft aangebracht over andere woonvormen. Ook dat is inderdaad een opdracht voor de nieuwe taskforce. Hoe kunnen nieuwe woonvormen misschien ook bijdragen aan kwalitatieve, betaalbare, duurzame woningen op de juiste plaatsen? Er bestaan vandaag al mogelijkheden rond erfpacht of opstal, bijvoorbeeld, maar ik denk dat we ook wel moeten durven te kijken naar andere, nieuwere manieren, nieuwere vormen zoals wooncoöperaties. Ook daar zijn er een aantal lokale besturen die daar wel echt al ver in staan, die daar al volop mee bezig zijn, maar heel veel andere ook helemaal nog niet. Vandaar dat de taskforce ook een toolbox zou kunnen aanleveren voor die lokale besturen, om een aanvulling op het bestaande aanbod te kunnen uitwerken. De conclusies van het leertraject wooncoöperaties worden volgende week voorgesteld en de concrete beleidsaanbevelingen kunnen dan ook deel uitmaken van die toolbox. Hoe zullen we de goed gelegen zones in beeld brengen? Dat kunnen zones zijn met bouwpotenties via transformatie, dus gronden of gebouwen die herbestemd worden, of zones met bouwpotentie op goed gelegen onbebouwde plekken. Daarvoor zal al het beschikbare materiaal bij elkaar gelegd worden, want ook daar bestaat er vaak al veel. Het is misschien nuttig om dat allemaal eens bij elkaar te brengen, zodat daar sneller of eenvoudiger mee aan de slag kan worden gegaan. Het gaat dan bijvoorbeeld over de kansenkaart ruimtelijk rendement, de atlas van de hefboomplekken, de kansenkaart ruimtelijk uitbreiden, het vermoedensregister onbebouwde percelen, eigendommen van woonmaatschappijen, enzovoort. Ik weet niet of iedereen al die documenten kent, maar dat is net het grote probleem: er zijn heel veel documenten. Er is al heel veel goed werk geleverd, maar iemand moet dat eens allemaal bij elkaar leggen. Zo worden de lokale besturen daar toch ook een stukje in begeleid en geholpen, want eerlijk waar: begin er maar aan om dat allemaal uit te pluizen. Het werkmateriaal dat daaruit zal voortkomen, zal de lokale besturen dus ondersteunen. Daarnaast willen we een aantal drempels wegwerken, dat is ook een belangrijke opdracht van de taskforce. Ook daar horen we heel vaak dat men wel wil, maar toch op een aantal regels of drempels botst. Ook dat zullen we dus nauwlettend monitoren. Er was ook een vraag naar de indicatoren. Die zijn het resultaat van een eerste interne oefening binnen de beide administraties. De opsomming is niet limitatief. De taskforce kan het zeker verder bekijken om dat nog aan te vullen. Ten slotte is er de timing van de taskforce. Wanneer willen we van start gaan? Dat is heel snel: over enkele weken komt de taskforce voor het eerst samen. We willen ook dit jaar al starten met de opmaak van een concreet actieplan, waarbij alle betrokken actoren kunnen wijzen op maatregelen die genomen kunnen worden, om dat effectief op het terrein te gaan realiseren. Hoe moeten de begrippen ‘betaalbaarheid’ en ‘duurzaamheid’ worden geïnterpreteerd? Dat was ook een vraag van collega Partyka. Het is een gezamenlijke opdracht en dat zal ook vertaald moeten worden naar het plan van aanpak dat in de taskforce wordt opgemaakt. Ook de keuze van de prioritair aan te pakken drempels is aan de taskforce. Ik merk in elk geval heel veel enthousiasme van de sector bijvoorbeeld, van heel wat stakeholders, om daar effectief aan deel te nemen. We krijgen heel veel vragen om in de taskforce te mogen, we gaan er ook heel veel mensen bij betrekken. Het moet natuurlijk ook nog wel een werkbaar systeem of een werkbaar orgaan blijven, maar het is heel duidelijk dat er hoge verwachtingen zijn bij heel wat stakeholders. In de werking van de taskforce zal ook rekening gehouden worden met de bevindingen die voortkomen uit de gemengde commissie Vergunningen. Vergunningen zullen natuurlijk een belangrijk punt van de agenda zijn. De uitnodigingen en de agenda zijn nog in voorbereiding, dus een concrete agenda kan ik nog niet meegeven. De taskforce komt dus wel over enkele weken samen. De samenstelling, daar kan ik wel al wat meer over zeggen. Het gaat zowel over collega’s van mijn kabinet als van het kabinet van collega Brouns, maar ook de vicekabinetten zitten mee in de taskforce, net zoals de administraties Wonen en Omgeving, de Vereniging van Vlaamse Steden en Gemeenten (VVSG) voor de lokale besturen, de architecten- en bouwsector, de sector van de vastgoedontwikkeling en de sociale huisvestingssector. Als je aan het ene wieltje draait, heeft het misschien effect op iemand anders. Vandaar dat het best is om iedereen samen aan de tafel te krijgen. Er zullen ook twee experten betrokken worden; die moeten nog gekozen worden, dus dat is nog niet beslist. Voor de woonmaatschappijen is het Initia die in de taskforce vertegenwoordigd zal zijn. Wat de beweringen van de heer Van Tornhaut betreft, zoals gevraagd door collega Blancquaert, kan ik mij aansluiten bij zijn analyse dat er op veel plaatsen een gebrek aan draagvlak is, zeker als het gaat over nieuwbouwprojecten. Daardoor kunnen veel geplande projecten niet of niet snel genoeg doorgaan en is er vaak heel wat bezwaar. Dat heeft natuurlijk grote gevolgen op de reeds krappe huurmarkt, waar we het daarnet over hebben gehad en waar prijzen steeds meer onder druk komen te staan. Maar dat de taskforce de lat te laag legt, daar ben ik het persoonlijk niet mee eens. Met deze taskforce willen we net al die elementen, waar ik het net over had, samenleggen en echt eens een strategie ontwikkelen richting de lokale besturen, om daar eigenlijk versnelling te kunnen gaan brengen. Het in beeld brengen van de locaties, het inventariseren van drempels voor de realisatie van woonprojecten en daarmee aan de slag gaan, zijn toch een aantal stappen die moeten worden doorlopen. Dat op zich is al een heel werk en het kan de gemeentebesturen misschien wel wat werk uitsparen, om daar dan echt sneller mee te starten. Het is wel een unieke aanpak, waarin ook de VVSG en al die andere organisaties betrokken zijn. Dus wat betreft uw vraag over de staten-generaal die dan in de plaats zou moeten worden opgericht met alle gemeenten, is het misschien nuttig dat u even verduidelijkt wat dan er nog extra zou zijn aan die staten-generaal, in vergelijking met de hele toelichting die ik net over de taskforce heb gegeven. Daar wordt ook met de gemeenten en met heel veel stakeholders gewerkt. Dat was voor mij dus niet helemaal duidelijk. Maar het is in elk geval wel de bedoeling om iedereen rond de tafel te brengen. Wat de uitkomst daarvan zal zijn, kan ik ook niet voorspellen, maar ik vind het in elk geval wel nodig om dat te doen en te zien welke drempels kunnen worden weggewerkt.",woensdag 19 februari 2025,1871902.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868531/verslag/1871902
over de oprichting van een taskforce Wonen-Ruimte,,,,speech,,Mieke Claes (N-VA),"Dank u wel, minister, voor uw heel uitgebreid antwoord. Ik kom even terug op een paar zaken. Als het gaat over het in kaart brengen van de slapende en onbenutte bouwpotenties, geeft u ook aan dat het heel belangrijk is dat een ruimte goed gescand wordt: wat is daar in de buurt, hoe zit het met openbaar vervoer, met faciliteitenvoorzieningen? Ik denk dat daar in het verleden te weinig aandacht aan gegeven werd. Het is dus heel belangrijk om dat in kaart te brengen. Een tweede zaak gaat over nieuwe woonvormen. Ook dat wilt u meenemen. Er is natuurlijk bijzonder veel vraag naar en er zijn ook bijzonder veel drempels. Dat verdient dus de nodige aandacht. U hebt heel wat problemen aangekaart. Die taskforce zal dus heel wat werk hebben. We weten dat de situatie dringend is. Er is daadkracht nodig. Om terug te komen op onze lokale besturen: ook zij hebben een duidelijk kader nodig, een datagedreven kader, en niet de zoveelste studie, want daar hebben lokale besturen natuurlijk niets aan. Er zijn zo snel mogelijk maatregelen nodig die zowel de bouwshift als het betaalbaar wonen verder bevorderen. Daarom heb ik nog een paar bijkomende vragen. Volgens ons mag het natuurlijk niet de bedoeling zijn dat die taskforce de lokale besturen gaat betuttelen. Het moet echt dienen als ondersteuning. Welke rol is er specifiek voorzien voor de lokale besturen binnen de werking van die taskforce? U hebt gezegd dat zij er deel van gaan uitmaken, dat zij mee aan tafel zitten. Maar hoe kijkt u daar verder naar? Hoe zal de samenwerking met hen verlopen? U hebt een heel uitvoerig antwoord gegeven. Er zal veel onderzocht moeten worden, er moeten oefeningen gebeuren. Uiteraard heb ik daar begrip voor. We kunnen niet van vandaag op morgen alle problemen binnen onze woningmarkt gaan oplossen, dus niets dan begrip daarvoor. Maar hoe gaat de Vlaamse Regering ervoor zorgen dat de plannen van de taskforce niet alleen maar bij aanbevelingen blijven, maar dat we toch komen tot concrete realisaties, liefst ook op korte of toch middellange termijn?",woensdag 19 februari 2025,1871902.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868531/verslag/1871902
over de oprichting van een taskforce Wonen-Ruimte,,,,speech,,Adeline Blancquaert (Vlaams Belang),"Heel erg bedankt voor uw uitgebreid antwoord, minister. U hebt zeker gelijk dat maatregelen nodig zijn en dat een dergelijke taskforce structureel beleid kan ondersteunen. Ik sluit me ook wel aan bij collega Claes: het mag zeker geen betutteling zijn ten opzichte van die besturen, maar er moet nu wel een ondersteunende rol geboden worden. Die ambitie van bijna een half miljoen woningen is zeker een heel goede stap in de juiste richting. We spreken natuurlijk wel over het behalen van die ambitie tegen 2050. Ik begrijp dat er op korte termijn geen wonderoplossing gezocht kan worden. Dat heeft tijd nodig. Maar die kritieken in het achterhoofd houdend, heb ik misschien toch een bijkomende vraag. Op welke basis komt u dan aan het getal van die 450.000 woningen? Zou dit aantal op korte termijn eventueel opgekrikt kunnen worden? Om af te sluiten: Vlaanderen zou natuurlijk Vlaanderen niet zijn als er geen vele papieren en administratieve rompslomp zouden zijn en sommige besturen door het bos de bomen niet meer zouden zien. Het is dus zeer positief, minister, dat al die administratieve rompslomp, al die documenten, al die papieren samengebracht zullen worden om het duidelijker te maken voor de lokale besturen. Wanneer zouden we die samenvatting mogen verwachten?",woensdag 19 februari 2025,1871902.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868531/verslag/1871902
over de oprichting van een taskforce Wonen-Ruimte,,,,speech,,Katrien Partyka (cd&v),"Bedankt voor uw uitgebreid antwoord, minister. Ik moet zeggen dat ik een klein beetje op mijn honger blijf. U vermeldde het ruimtelijk rendement, dat er verschillende registers zijn en dat u die gaat samenbrengen. Dat is uiteraard heel nuttig. Maar het is ook wel zo dat die woonuitbreidingsgebieden en alles wat daarbij hoort, natuurlijk de laatste resterende ruimte is in Vlaanderen en dat er dikwijls ook redenen zijn waarom die bewust niet aangesneden zijn door bijvoorbeeld steden of gemeenten: om stadsvlucht te vermijden, om te vermijden dat er nog meer verkavelingen komen die veel te veel ruimte in beslag nemen. Ik blijf dus een beetje op mijn honger over het polyvalent en toekomstproof bouwen. U vernoemt wooncoöperaties en een toolbox: dat is heel goed natuurlijk. Maar als we echt willen nadenken over hoe we wonen zien in Vlaanderen in de toekomst, gelet op de uitdagingen rond duurzaamheid, rond gezinsverdunning, sociaal, economisch, dan is er meer nodig dan alleen coöperatief bouwen en dan moeten we echt over de regels van wat voor ons een kwalitatieve woning is, durven nadenken. Ik denk dat de taskforce daar een ideale plaats voor kan zijn, om echt eens toekomstgericht te durven denken over op welke manier we de laatste ruimte die er in Vlaanderen nog is, willen volbouwen – als we dat doen –, zodat het duurzaam, economisch en sociaal verantwoord is en vooral toekomstproof. Maar verder wens ik u veel succes. Misschien is het wel nuttig om daar eens een commissievergadering aan te wijden, rond de bespreking van de taskforce. Gezien de verschillende insteken van de verschillende partijen, denk ik dat er heel veel interesse is om daar eens samen verder over na te denken of daar wat meer toelichting bij te krijgen. Maar dat moeten we in de regeling der werkzaamheden eens bespreken, voorzitter.",woensdag 19 februari 2025,1871902.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868531/verslag/1871902
over de oprichting van een taskforce Wonen-Ruimte,,,,speech,,Kelly Van Tendeloo (Vooruit),"Ik heb een andere lezing gehoord als het gaat over het vertrouwen geven aan de lokale besturen, waar er vooral aandacht werd gegeven aan het aanreiken van handvaten en ervoor zorgen dat er voldoende informatie beschikbaar is zodat ze slagkrachtig kunnen handelen. Ik denk dat de lokale besturen zeer tevreden zijn dat ze op die manier kunnen samenwerken. Het is ook een zeer mooie startsamenstelling voor de taskforce zelf om aan de slag te gaan. Maar ik denk dat alle expertise al aan de tafel zit om effectief met concrete oplossingen te komen en niet enkel en alleen met studies die verder onderzocht moeten worden. Ik heb nog een bijkomende vraag als het gaat over het maximaal wegwerken van drempels. Vaak worden er bezwaarschriften ingediend die enkel en alleen gebaseerd zijn op het nimbyeffect, waarbij alle mogelijke alternatieven worden aangehaald om duidelijk te maken waarom iets daar niet kan worden gebouwd, maar die eigenlijk niet stroken met de wetgeving. Zijn dat zaken waar de taskforce ook naar zal kijken? Zal men kijken naar een manier waarop die bezwaarschriften anders kunnen worden aangepakt, wanneer dat heel duidelijk de reden is waarom ze zijn ingediend?",woensdag 19 februari 2025,1871902.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868531/verslag/1871902
over de oprichting van een taskforce Wonen-Ruimte,,,,speech,,Raf Van Gestel (PVDA),"Minister, de woonmarkt staat in brand. U hebt dat daarjuist nog deels toegegeven. Een taskforce Wonen-Ruimte vinden wij als PVDA-fractie een heel nuttig instrument. Wij juichen dat toe, zeker als het gaat over 450.000 woningen realiseren tegen 2050. Maar ik heb daar toch een aantal kritische bedenkingen bij. We gaan niet bouwen om te bouwen, hoop ik. Dat is wat de vastgoedsector wil: bouwen en winst maken. Maar daar is de gemiddelde Vlaming niet veel mee vooruit. Ik kan u daar een voorbeeld van geven. In mijn eigen gemeente Brasschaat moeten er twee scholen volledig heropgebouwd worden. Dat zal gebeuren in een privaat-publieke samenwerking, waarbij de vastgoedmakelaar twee piepkleine scholen gaat bouwen en tegelijkertijd honderd dure woningen wil realiseren. De plannen van die woningen passen volledig niet in het gabarit van de omgeving en leggen een enorme druk op die omgeving. Uiteindelijk wordt er geen enkele betaalbare woning bij gerealiseerd. Het is voor ons dus niet gelijk wat er wordt gebouwd. Het moet duurzaam, betaalbaar, verenigbaar met de omgeving en kwaliteitsvol zijn. Ik zie het dus voor mijn neus gebeuren in mijn gemeente. Ze noemen dat onderhandelingsstedenbouw. Die is maar zo sociaal als de onderhandelaars zijn. De N-VA is daar voorstander van. Ik begrijp dat ook wel voor een deel. Maar de vraag is of de taskforce Wonen-Ruimte er mee voor zal zorgen dat de private sector ingeschakeld zal worden om die betaalbare woningen te realiseren. Als dat zo is, dan is dat fantastisch. Maar als de taskforce een speelbal zal worden van de vastgoedlobby en zijn politieke vriendjes, dan passen wij daar liever voor. Het hangt ook wat samen met wat ik net heb gezegd. Ik mis een beetje het woonmiddenveld dat niet aanwezig is in de kerngroep van de taskforce, maar gelukkig zijn de woonmaatschappijen dat wel. Mijn vraag is: hoe gaat u dat woonmiddenveld mee betrekken in de taskforce? Ik heb een laatste opmerking. De vraag is misschien al gedeeltelijk beantwoord, maar het is me nog niet helemaal duidelijk. Verdichten, het woonaanbod verhogen, wil ook zeggen voor een deel renoveren, veronderstel ik. Er zijn 430.000 Vlaamse woningen zonder domicilieadres. Kunnen we die omturnen in een betaalbaar eerste verblijf? Komt dat ook aan bod in de taskforce, of zal het enkel over nieuwbouw gaan? Ik denk dat u daar al gedeeltelijk op hebt geantwoord.",woensdag 19 februari 2025,1871902.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1868531/verslag/1871902
