date,title,description,view_link,watch_link,ID,commission,meeting_ID,card__tag,card__title,card__document_number,card__author,verslag_link,data_type
19 februari 2025 9 uur - Pieter Bruegel,"Commissie voor Wonen, Toerisme, Energie en Klimaat - Voortgang Vlaams energie- en klimaatbeleid",De nieuwe Federale Regering stelt in haar regeerakkoord dat ze de Europese klimaatdoelen voor België wil halen: een reductie van de uitstoot van 47 procent ten opzichte van 2005 tegen 2030. De ambitie van de Vlaamse Regering ligt echter op een reductie van 40 procent. Volgens het voortgangsrapport 2024 van het Vlaams Energie- en Klimaatplan 2021-2030 van het Vlaamse Energie- en Klimaatagentschap (VEKA) dreigt Vlaanderen tegen 2030 slechts aan 33...,/nl/parlementair-werk/commissies/commissievergaderingen/1868531,/nl/parlementair-werk/commissies/commissievergaderingen/1868531,1868531,wonen,,,,,,,
,,,,,1867302,,1868531,Vraag om uitleg,Vraag om uitlegover de aangepaste sterrenclassificatie voor Vlaamse hotels,1405 (2024-2025),vanInge Brockenaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1867302,agenda_item
,,,,,1869002,,1868531,Vraag om uitleg,Vraag om uitlegover de toeristische borden langs snelwegen en gewestwegen,1468 (2024-2025),vanKatrien Partykaaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1869002,agenda_item
,,,,,1867065,,1868531,Vraag om uitleg,Vraag om uitlegover het schrappen van de federale interestaftrek voor de niet-eigen woning en de gevolgen voor de Vlaamse huurmarkt,1389 (2024-2025),vanAdeline Blancquaertaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1867065,agenda_item
,,,,,1868069,,1868531,Vraag om uitleg,Vraag om uitlegover de reacties op de schrapping van de federale intrestaftrek voor de niet-eigen woning en de eventuele gevolgen ervan voor het Vlaamse woonbeleid,1448 (2024-2025),vanKatrien Partykaaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1868069,agenda_item
,,,,,1867419,,1868531,Vraag om uitleg,Vraag om uitlegover Mijn VerbouwLening,1428 (2024-2025),vanRobrecht Bothuyneaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1867419,agenda_item
,,,,,1867249,,1868531,Vraag om uitleg,Vraag om uitlegover de middelentoets voor kandidaat-huurders van een sociale woning,1399 (2024-2025),vanGijs Degrandeaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1867249,agenda_item
,,,,,1867359,,1868531,Vraag om uitleg,Vraag om uitlegover de oprichting van een taskforce Wonen-Ruimte,1415 (2024-2025),vanMieke Claesaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1867359,agenda_item
,,,,,1867434,,1868531,Vraag om uitleg,Vraag om uitlegover het dalende aantal vergunningen voor nieuwe woningen,1431 (2024-2025),vanAdeline Blancquaertaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1867434,agenda_item
,,,,,1867438,,1868531,Vraag om uitleg,Vraag om uitlegover de oprichting van een taskforce Wonen-Ruimte,1434 (2024-2025),vanKatrien Partykaaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1867438,agenda_item
,,,,,1869703,,1868531,Vraag om uitleg,Vraag om uitlegover een taskforce Wonen-Ruimte,1523 (2024-2025),vanKelly Van Tendelooaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1869703,agenda_item
,,,,,1867423,,1868531,Vraag om uitleg,Vraag om uitlegover het knelpuntberoep van syndicus,1429 (2024-2025),vanFourat Ben Chikhaaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1867423,agenda_item
,,,,,1855858,,1868531,Vraag om uitleg,Vraag om uitlegover de voortgang van de reductie van broeikasgasemissies in Vlaanderen en de inspanningen om de klimaatdoelen te halen,864 (2024-2025),vanAimen Horchaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1855858,agenda_item
,,,,,1857398,,1868531,Vraag om uitleg,Vraag om uitlegover het voortgangsrapport van het Vlaams Energie- en Klimaatplan 2021-2030,928 (2024-2025),vanAndries Gryffroyaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1857398,agenda_item
,,,,,1866137,,1868531,Vraag om uitleg,Vraag om uitlegover de impact van het federale regeerakkoord op het Vlaamse energie- en klimaatbeleid,1360 (2024-2025),vanAimen Horchaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1866137,agenda_item
,,,,,1867036,,1868531,Vraag om uitleg,Vraag om uitlegover de klimaatambities van Vlaanderen,1387 (2024-2025),vanRaf Van Gestelaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1867036,agenda_item
,,,,,1868574,,1868531,Vraag om uitleg,Vraag om uitlegover de negatieve impact van het mega windmolenpark bij Duinkerke op de Vlaamse (wind)energievoorziening,1462 (2024-2025),vanDries Devilléaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1868574,agenda_item
